2023-07-16 18:09:36.726020;Динамометрические ключи, отвертки, безмены;KP00003243;Динамометр растяжения PESOLA Macro-Line 20-200Nm;ЕКБ;80196;PESOLA ;13782-68;Калибровка;12;001N;2023-04-27;2024-04-26;ОС 1.3;0;;1;СЦ-Ормет;"ФБУ ""УРАЛТЕСТ""";238
2023-07-16 18:09:36.726021;Динамометрические ключи, отвертки, безмены;KP00003243;Динамометр растяжения PESOLA Macro-Line 20-200Nm;ЕКБ;80196;PESOLA;13782-68;Калибровка;12;3;2023-03-07;2024-03-06;ОС 1.3;0;;1;СЦ-Ормет;"ФБУ ""УРАЛТЕСТ""";187
2023-07-16 18:09:36.726022;Динамометрические ключи, отвертки, безмены;KP00003243;Динамометр растяжения PESOLA Macro-Line 20-200Nm;ЧЛБ;80196;Pesola;13782-68;Калибровка;12;105;2023-06-26;2024-06-25;склад;0;;1;СЦ-Ормет;"ФБУ ""УРАЛТЕСТ""";298
2023-07-16 18:09:36.726023;Динамометрические ключи, отвертки, безмены;KP00003243;Динамометр растяжения PESOLA Macro-Line 20-200Nm;ЧЛБ;80196;Pesola;13782-68;Калибровка;12;106;2023-08-02;2024-08-01;склад;0;;1;Проммаш тест метрология;Проммаш тест метрология;335
2023-07-16 18:09:36.726024;Динамометрические ключи, отвертки, безмены;KP00003243;Динамометр растяжения PESOLA Macro-Line 20-200Nm;Пермь;80196;Pesola;13782-68;Калибровка;12;HF05/19;2023-03-14;2024-03-13;S 1.8;0;;1;Метрология и сервис;"ФБУ ""Пермский ЦСМ""";194
2023-07-16 18:09:36.726025;Динамометрические ключи, отвертки, безмены;KP00003243;Динамометр растяжения PESOLA Macro-Line 20-200Nm;Пермь;80196;Pesola;13782-68;Калибровка;12;HF1802-1;2023-04-20;2024-04-19;S 1.8;0;;1;Метрология и сервис;"ФБУ ""Пермский ЦСМ""";231
2023-07-16 18:09:36.726026;Динамометрические ключи, отвертки, безмены;KP00007476;Отвертка динамометрическая WURTH 1,0-3,5Nm;ЕКБ;;WURTH;;Калибровка;12;110001;2023-04-19;2024-04-18;ОС 1.3;0;;1;СЦ-Ормет;СЦ-Ормет;230
2023-07-16 18:09:36.726027;Динамометрические ключи, отвертки, безмены;KP00009324;Динамометрический ключ HAZET 6108-1CT 2-10 Нм;Пермь;;HAZET;;Поверка;12;21-1638001;2023-02-15;2024-02-14;S 1.8;0;;1;"ФБУ ""Омский ЦСМ""";"ФБУ ""Омский ЦСМ""";166
2023-07-16 18:09:36.726028;Динамометрические ключи, отвертки, безмены;KP00003083;Ключ динамометрический предельный TORCOFIX  5-25Nm;ЕКБ;;TORCOFIX;69185-17;Поверка;12;T030012;2023-04-19;2024-04-18;ОС 1.3;0;;1;СЦ-Ормет;СЦ-Ормет;230
2023-07-16 18:09:36.726029;Динамометрические ключи, отвертки, безмены;;Ключ динамометрический предельный WURTH 4-20Nm;ЕКБ;;WURTH;;Калибровка;12;159491;2023-02-22;2024-02-21;ОС 1.3;0;;1;СЦ-Ормет;СЦ-Ормет;173
2023-07-16 18:09:36.726030;Динамометрические ключи, отвертки, безмены;KP00003083;Ключ динамометрический предельный NORGAU NTW21-002R 5-25Nm;ЕКБ;NTW21-002R;NORGAU;60307-15;Поверка;12;170908005049;2023-07-11;2024-07-10;ОС 1.2;0;;1;СЦ-Ормет;СЦ-Ормет;313
2023-07-16 18:09:36.726031;Динамометрические ключи, отвертки, безмены;KP00003083;Ключ динамометрический предельный NORGAU NTW21-002R 5-25Nm;Пермь;NTW21-002R;NORGAU;60307-15;Поверка;12;170908005045;2023-02-15;2024-02-14;S 1.9;0;;1;"ФБУ ""Омский ЦСМ""";"ФБУ ""Омский ЦСМ""";166
2023-07-16 18:09:36.726032;Динамометрические ключи, отвертки, безмены;KP00006667;Ключ динамометрический предельный NORGAU NTW21-002R 5-25Nm;ЧЛБ;NTW21-002R;NORGAU;81078-20;Поверка;12;2007150010061;2023-05-30;2024-05-29;склад;0;;1;СЦ-Ормет;СЦ-Ормет;271
2023-07-16 18:09:36.726033;Динамометрические ключи, отвертки, безмены;KP00006667;Ключ динамометрический предельный NORGAU NTW21-002R 5-25Nm;ЧЛБ;NTW21-002R;NORGAU;81078-20;Поверка;12;2007150010053;2023-08-02;2024-08-01;склад;0;;1;Проммаш тест метрология;Проммаш тест метрология;335
2023-07-16 18:09:36.726034;Динамометрические ключи, отвертки, безмены;;Ключ динамометрический предельный GARANT  656050_60 10-60Nm;ЕКБ;656050 60;GARANT;52231-12;Поверка;12;SN14-385244;2023-07-12;2024-07-11;ОС 1.2;0;;1;СЦ-Ормет;СЦ-Ормет;314
2023-07-16 18:09:36.726035;Динамометрические ключи, отвертки, безмены;KP00003120;Динамометрический ключ Norgau NTW22-010R 20-100 Нм;Пермь;NTW22-010R;NORGAU;60307-15;Поверка;12;170224003030;2023-03-16;2024-03-15;S 1.9;0;;1;"ФБУ ""Омский ЦСМ""";"ФБУ ""Омский ЦСМ""";196
2023-07-16 18:09:36.726036;Динамометрические ключи, отвертки, безмены;KP00007939;Ключ динамометрический предельный NORGAU NTW23-010I 20-100Nm;ЕКБ;NTW23-010I;NORGAU;60307-15;Поверка;12;170908006072;2023-02-22;2024-02-21;ОС 1.2;0;;1;СЦ-Ормет;СЦ-Ормет;173
2023-07-16 18:09:36.726037;Динамометрические ключи, отвертки, безмены;KP00003120;Ключ динамометрический предельный NORGAU NTW23-010R 20-100Nm;ЕКБ;NTW23-010R;NORGAU;60307-15;Поверка;12;170415014137;2023-07-12;2024-07-11;ОС 1.2;0;;1;СЦ-Ормет;СЦ-Ормет;314
2023-07-16 18:09:36.726038;Динамометрические ключи, отвертки, безмены;KP00003120;Ключ динамометрический предельный NORGAU NTW23-010R 20-100Nm;ЕКБ;NTW23-010R;NORGAU;60307-15;Поверка;12;170707022216;2023-07-11;2024-07-10;ОС 1.2;0;;1;СЦ-Ормет;СЦ-Ормет;313
2023-07-16 18:09:36.726039;Динамометрические ключи, отвертки, безмены;KP00003120;Динамометрический ключ Norgau NTW23-010R, 60307-15 20-100 Нм;Пермь;NTW23-010R;NORGAU;60307-15;Поверка;12;170415014088;2023-03-16;2024-03-15;S 1.9;0;;1;"ФБУ ""Омский ЦСМ""";"ФБУ ""Омский ЦСМ""";196
2023-07-16 18:09:36.726040;Динамометрические ключи, отвертки, безмены;KP00007939;Динамометрический ключ Norgau NTW23-010I 20-100 Нм;Пермь;NTW23-010I;NORGAU;60307-15;Поверка;12;170908006103;2023-02-01;2024-01-31;S 1.9;0;;1;"ФБУ ""Омский ЦСМ""";"ФБУ ""Омский ЦСМ""";152
2023-07-16 18:09:36.726041;Динамометрические ключи, отвертки, безмены;;Ключ динамометрический предельный NORGAU NTW23-010I 20-100Nm;ЕКБ;NTW23-010I;NORGAU;60307-15;Поверка;12;170908006114;2023-07-11;2024-07-10;ОС 1.2;0;;1;СЦ-Ормет;СЦ-Ормет;313
2023-07-16 18:09:36.726042;Динамометрические ключи, отвертки, безмены;;Ключ динамометрический предельный NORGAU NTW23-010I 20-100Nm;ЕКБ;NTW23-010I;NORGAU;60307-15;Поверка;12;170908006074;2023-07-11;2024-07-10;ОС 1.2;0;;1;СЦ-Ормет;СЦ-Ормет;313
2023-07-16 18:09:36.726043;Динамометрические ключи, отвертки, безмены;KP00004850;Ключ динамометрический предельный NORGAU NTW23-010I 20-100Nm;ЧЛБ;NTW23-010I;NORGAU;81078-20;Поверка;12;2008310020218;2023-05-29;2024-05-28;склад;0;;1;СЦ-Ормет;СЦ-Ормет;270
2023-07-16 18:09:36.726044;Динамометрические ключи, отвертки, безмены;KP00004850;Ключ динамометрический предельный NORGAU NTW23-010I 20-100Nm;ЧЛБ;NTW23-010I;NORGAU;81078-20;Поверка;12;2008310020388;2023-08-02;2024-08-01;склад;0;;1;Проммаш тест метрология;Проммаш тест метрология;335
2023-07-16 18:09:36.726045;Динамометрические ключи, отвертки, безмены;;Ключ динамометрический предельный GARANT  656055_120 20-120Nm;ЕКБ;656055120;GARANT;52231-12;Поверка;12;N14-431186;2022-03-23;2023-03-22;-;0;;1;;;-163
2023-07-16 18:09:36.726046;Динамометрические ключи, отвертки, безмены;;Ключ динамометрический предельный GARANT  656055_120 20-120Nm;ЕКБ;656055120;GARANT;52231-12;Поверка;12;SN15-173532;2023-07-12;2024-07-11;ОС 1.2;0;;1;СЦ-Ормет;СЦ-Ормет;314
